,Participant ID,Activity Slope La,Activity Slope Lw,Activity Slope Ra,Activity Slope Rw,Activity Slope Rwlw,Activity Slope Total
1,47,-0.37795106902766795,-0.5934394064772227,-0.6036347528556154,-0.7083849552434796,-0.3437564495765903,-2.029527490005042
2,48,-0.31948401468079024,-0.3301800972377274,-0.3812174817452754,-0.33160024924527576,-0.3440703758906821,-1.7065522187997504
3,49,-0.10997403912886439,-0.09474916849641403,-0.11797454392380033,-0.12177031431410704,-0.06936336019589101,-0.4784957098276913
4,50,,,,,,
5,52,-0.7639069746937779,-0.04409475092581886,-0.6067144700249625,-0.08458116699606916,-0.5308346503413232,-2.4551846936833295
6,53,-0.10280902714505716,-0.8218428888356962,-0.7460086527086476,-0.7586374798933242,-0.8304684517202157,-3.2597665003029404
7,54,-0.694785601491357,-0.3740709002231886,-0.508165981278853,-0.5895911117922108,-0.8633880355746627,-3.118249386899632
8,55,0.9984847834360608,0.6896040582076587,1.3031655179021848,-0.3895829851576659,-0.05529327260596546,-13.294552826702141
9,56,0.3902026386186064,1.599979440748814,0.27121213953178647,11.346008222619053,-3.0082148646884233,44.579808055009856
10,57,,,,,,
11,58,,,,,,
12,59,,,,,,
13,60,-0.25767180574506743,-0.849376744507683,-0.009990571185601604,-0.10513053006805025,-0.7013826931496925,-3.742537994366369
14,61,,,,,,
15,62,-0.7096881560427059,-1.5879589857940812,0.2557327416864465,-1.058627744416032,0.6442934344324299,3.051432311413595
16,63,,,,,,
17,65,-0.2641988651283514,-0.1654991495917242,-0.2823106207874331,-0.15530054994554132,0.04269853403940243,-0.8442652655849868
18,66,-0.29593027447097736,-0.07669441385054585,-0.30673929964350266,-0.24686589299568643,-0.33187090756259174,-0.8085158030999563
19,68,,,,,,
20,69,,,,,,
21,73,-2.150355539625722,-0.5074877919320622,-0.7239090729949846,-1.1041136100486448,-0.5957326649118713,-3.0213639360235063
22,75,-1.1354215653183062,0.39417883237475,0.6657986545988253,1.4802949590004368,2.0533503510003444,-12.401337707846416
23,76,,,,,,
24,77,,,,,,
25,79,,,,,,
26,82,-0.049151249278565304,-0.2385709110614456,-0.037328530351365526,-0.1910004695178604,-0.6175283777179147,-0.9960448493465547
27,83,,,,,,
28,84,-1.4799961802610913,-2.0692728205162743,-1.783270108334534,-1.9194648071484497,-1.0288625810368528,-8.280866497297195
29,85,-1.1396560458212561,-1.5527963939999028,-1.5141852602074124,-0.8213231262244622,-1.5580240797507934,-7.560374071680531
30,86,-0.13263765170978106,-0.6159639830281274,-0.07538762702694049,-0.6900386598385821,-0.8700293463573223,-3.0494157422269574
31,87,-0.26078398563540567,-0.009118175730664993,-0.18861929614495354,1.3294457394537003,-1.379108003876577,2.3649719569269765
32,89,,,,,,
33,90,-0.5650544366311617,-0.5635719578865321,-0.7252871319450952,-0.5075108254766666,-0.1556429647814049,-3.0445046488662397
34,91,,,,,,
35,92,,,,,,
36,95,0.36869915858491664,0.015541497949694895,0.5960744413623363,-0.0027358349425172183,0.7011136716309652,1.6786929345853785
37,96,,,,,,
38,98,-0.6233614995193212,-1.5883489653827407,-1.12003764867954,-1.7105371884366727,-0.588192532885457,-5.6304778349037194
39,99,,,,,,
40,101,-0.7707151335897996,-0.22633453164343906,-0.8453439909510183,-0.2046461232769856,0.07500502412749759,-2.102421605183226
41,102,0.011882847583090364,-0.38799715765201814,0.07329706568046392,-0.08804474674643437,-0.368515670596005,-0.907100858111311
42,103,,,,,,
43,104,-0.23440369177509213,-0.9651521922161841,-0.3103552321352821,-0.7085359878606907,-1.2491177828139557,-3.5543737417456205
44,105,,,,,,
45,106,-0.11686225108844553,0.026642124322025736,-0.049631079410241974,0.0407722732819354,-0.04014830735761121,-0.1392272402523378
46,108,-0.28806793481482795,-0.6216906187720264,-0.24568474047373765,-0.4974442347122121,0.1170019081321584,-1.5440163153097175
47,116,-3.4929977532265215,-2.065062255361301,-3.868286822031938,-2.1323332818156255,-4.140846299937255,-15.699526412372657
48,118,,,,,,
49,119,-0.5264427609936319,-0.4162802712779347,-0.7823948537596228,-0.8223619766052664,-0.05525696622934396,-2.501758108619957
50,121,,,,,,
51,124,,,,,,
52,126,-0.044691875496143556,-0.112480510284825,-0.007525430279902694,-0.07110251178138322,-0.038353218080603366,-0.2697722332326324
53,128,-0.07825132000040246,-0.38352125230571843,-0.015426574207183916,-0.229436091880859,-0.0394675198123873,-0.7461027582065526
54,129,-0.08326233630898412,-0.09652846580778861,-0.0660580939613161,-0.12453556734274855,0.21215771376567608,-0.06404051686831226
55,130,-0.040798286227359676,-0.18926010847927818,-0.0638768668596445,-0.08081161110316626,-0.004467257519170497,-0.3999826095831532
56,131,-0.3581831269847267,-0.29048726350083076,-0.3378465633088359,-0.24987052951503358,-0.3257300259441273,-1.5621175092535537
57,135,-0.06671036285340703,-0.04994883934245825,-0.01644216295984878,-0.07769656858721097,-0.10216698444012413,-0.5124057486584103
58,136,-1.5202677326005885,-0.6790922658953938,-1.553338061770252,-1.3032140394902398,-1.6564034499642002,-6.712315549720668
59,137,-0.11852052365698781,-0.6726908386629167,-0.15770190436583362,-0.809470459098271,-1.0771119718689988,-2.8354956976530077
60,138,,,,,,
61,139,0.017239984315497305,-0.24172522708798325,-0.017165867348659446,-0.13331506533165763,0.11773157138813567,-0.257234604064662
62,142,,,,,,
63,143,,,,,,
64,144,,,,,,
65,145,,,,,,
66,146,0.6676613913501485,0.15498830906551536,2.073642192022263,0.18243560137780862,0.999427380342749,4.0781548741584706
67,147,0,0,0,0,0,0
